Date,Max Temp,Min Temp,Ave Temp,Departure,HDD,CDD,Precipitation
6/1/14,64,51,57.5,-1.2,7,0,0
6/2/14,60,51,55.5,-3.3,9,0,0
6/3/14,63,51,57,-1.8,8,0,0
6/4/14,67,51,59,0.1,6,0,0
6/5/14,62,51,56.5,-2.5,8,0,0
6/6/14,63,52,57.5,-1.6,7,0,0
6/7/14,66,52,59,-0.1,6,0,0
6/8/14,78,51,64.5,5.3,0,0,0
6/9/14,69,56,62.5,3.2,2,0,0
6/10/14,64,55,59.5,0.1,5,0,0
6/11/14,64,54,59,-0.4,6,0,0
6/12/14,62,52,57,-2.5,8,0,0
6/13/14,70,54,62,2.4,3,0,0
6/14/14,75,54,64.5,4.9,0,0,0
6/15/14,64,53,58.5,-1.2,6,0,0
6/16/14,60,52,56,-3.7,9,0,0
6/17/14,67,51,59,-0.8,6,0,0
6/18/14,78,53,65.5,5.7,0,1,0
6/19/14,65,53,59,-0.9,6,0,0
6/20/14,71,53,62,2.1,3,0,0
6/21/14,60,53,56.5,-3.5,8,0,0
6/22/14,62,52,57,-3,8,0,0
6/23/14,67,52,59.5,-0.5,5,0,0
6/24/14,66,55,60.5,0.4,4,0,0
6/25/14,62,54,58,-2.1,7,0,0
6/26/14,65,55,60,-0.1,5,0,0.01
6/27/14,67,55,61,0.9,4,0,0
6/28/14,68,54,61,0.9,4,0,0
6/29/14,73,55,64,3.8,1,0,0
6/30/14,73,56,64.5,4.3,0,0,0
7/1/14,65,55,60,-0.2,5,0,0
7/2/14,65,54,59.5,-0.7,5,0,0
7/3/14,65,54,59.5,-0.7,5,0,0
7/4/14,62,54,58,-2.2,7,0,0
7/5/14,65,54,59.5,-0.7,5,0,0
7/6/14,66,53,59.5,-0.7,5,0,0
7/7/14,68,54,61,0.8,4,0,0
7/8/14,64,55,59.5,-0.7,5,0,0
7/9/14,68,57,62.5,2.3,2,0,0
7/10/14,68,57,62.5,2.3,2,0,0
7/11/14,68,57,62.5,2.3,2,0,0
7/12/14,64,55,59.5,-0.7,5,0,0
7/13/14,67,54,60.5,0.3,4,0,0
7/14/14,72,57,64.5,4.3,0,0,0
7/15/14,73,56,64.5,4.3,0,0,0
7/16/14,70,59,64.5,4.3,0,0,0.02
7/17/14,68,60,64,3.8,1,0,0
7/18/14,68,59,63.5,3.2,1,0,0.01
7/19/14,68,59,63.5,3.2,1,0,0
7/20/14,67,58,62.5,2.2,2,0,0
7/21/14,70,61,65.5,5.2,0,1,0.01
7/22/14,72,61,66.5,6.2,0,2,0.04
7/23/14,71,62,66.5,6.2,0,2,0
7/24/14,75,59,67,6.6,0,2,0
7/25/14,85,60,72.5,12.1,0,8,0
7/26/14,72,59,65.5,5.1,0,1,0
7/27/14,69,59,64,3.5,1,0,0
7/28/14,67,58,62.5,2,2,0,0
7/29/14,67,57,62,1.5,3,0,0
7/30/14,67,56,61.5,0.9,3,0,0
7/31/14,66,56,61,0.4,4,0,0
8/1/14,65,57,61,0.3,4,0,0
8/2/14,62,56,59,-1.7,6,0,0
8/3/14,64,57,60.5,-0.3,4,0,0
8/4/14,68,57,62.5,1.7,2,0,0
8/5/14,69,59,64,3.1,1,0,0
8/6/14,71,58,64.5,3.6,0,0,0.01
8/7/14,64,57,60.5,-0.5,4,0,0
8/8/14,68,57,62.5,1.4,2,0,0
8/9/14,60,56,58,-3.1,7,0,0
8/10/14,68,57,62.5,1.3,2,0,0
8/11/14,69,59,64,2.7,1,0,0
8/12/14,70,59,64.5,3.2,0,0,0
8/13/14,69,58,63.5,2.1,1,0,0
8/14/14,68,57,62.5,1,2,0,0
8/15/14,69,58,63.5,1.9,1,0,0
8/16/14,67,58,62.5,0.9,2,0,0
8/17/14,67,56,61.5,-0.2,3,0,0
8/18/14,62,57,59.5,-2.3,5,0,0
8/19/14,68,58,63,1.2,2,0,0
8/20/14,67,60,63.5,1.6,1,0,0
8/21/14,69,59,64,2,1,0,0
8/22/14,68,59,63.5,1.5,1,0,0
8/23/14,70,60,65,2.9,0,0,0
8/24/14,69,59,64,1.9,1,0,0
8/25/14,68,61,64.5,2.3,0,0,0
8/26/14,69,60,64.5,2.3,0,0,0
8/27/14,69,59,64,1.7,1,0,0
8/28/14,68,59,63.5,1.2,1,0,0
8/29/14,69,58,63.5,1.1,1,0,0
8/30/14,71,60,65.5,3.1,0,1,0
8/31/14,71,59,65,2.5,0,0,0
